num,name,manufacturer,speed,glide,turn,fade,type
1,envy,axiom,3,3,0,2,putter
2,hex,axiom,5,5,-1,1,mid
3,insanity,axiom,9,5,-1,1,distance
4,mayhem,axiom,13,5,-1.5,2,distance
5,panic,axiom,13,4,-0.5,3,distance
6,paradox,axiom,5,4,-4,0,mid
7,proxy,axiom,3,3,-1,0.5,putter
8,essence,discmania,8,6,-2,1,fairway
9,link,discmania,2,3,0,1,putter
10,p2,discmania,2,3,0,1,putter
11,tilt,discmania,9,1,1,6,distance
12,anax,discraft,10,6,0,3,distance
13,avenger,discraft,10,5,0,3,distance
14,avenger ss,discraft,10,5,-3,1,distance
15,buzzz,discraft,5,4,-1,1,mid
16,buzzz os,discraft,5,4,0,3,mid
17,buzzz ss,discraft,5,4,-2,1,mid
18,captains raptor,discraft,9,3,1,4,distance
19,comet,discraft,4,5,-2,1,mid
20,crank,discraft,13,5,-2,2,distance
21,drone,discraft,5,3,1,4,mid
22,fierce,discraft,3,4,-2,0,putter
23,force,discraft,12,5,0,3,distance
24,hades,discraft,12,6,-3,2,distance
25,heat,discraft,9,6,-3,1,distance
26,luna,discraft,3,3,0,3,putter
27,machete,discraft,11,4,0,4,distance
28,malta,discraft,5,4,1,3,mid
29,mantis,discraft,8,4,-2,2,fairway
30,meteor,discraft,5,5,-3,1,mid
31,nuke,discraft,13,5,-1,3,distance
32,nuke os,discraft,13,4,0,4,distance
33,nuke ss,discraft,13,5,-3,3,distance
34,passion,discraft,8,5,-1,1,fairway
35,predator,discraft,9,4,1,4,distance
36,raptor,discraft,9,4,0,3,distance
37,roach,discraft,2,4,0,1,putter
38,scorch,discraft,11,6,-2,2,distance
39,sol,discraft,4,5,-3,0,mid
40,stalker,discraft,7,5,-1,2,fairway
41,thrasher,discraft,12,5,-3,2,distance
42,undertaker,discraft,9,5,-1,2,distance
43,vulture,discraft,10,5,0,2,distance
44,wasp,discraft,5,3,0,2,mid
45,zeus,discraft,12,5,-1,3,distance
46,zombee,discraft,6,5,-1,1,fairway
47,zone,discraft,4,3,0,3,mid
48,aviar,innova,2,3,0,1,putter
49,aviar3,innova,3,2,0,2,putter
50,aviarx3,innova,3,2,0,3,putter
51,beast,innova,10,5,-2,2,distance
52,colt,innova,3,4,-1,1,putter
53,corvette,innova,14,6,-1,2,distance
54,dart,innova,3,4,0,0,putter
55,destroyer,innova,12,5,-1,3,distance
56,eagle,innova,7,4,-1,3,fairway
57,firebird,innova,9,3,0,4,distance
58,firefly,innova,2,3,0,1,putter
59,gator,innova,5,2,0,4,mid
60,groove,innova,12,6,-2,2,distance
61,invader,innova,3,2,0,1,putter
62,jk aviar,innova,2,3,0,2,putter
63,katana,innova,12,5,-3,3,distance
64,kc aviar,innova,2,3,0,2,putter
65,leopard,innova,6,5,-2,1,fairway
66,leopard3,innova,7,5,-2,1,fairway
67,lion,innova,5,4,0,2,mid
68,mako,innova,4,5,0,0,mid
69,mako3,innova,5,5,0,0,mid
70,nova,innova,2,3,0,0,putter
71,pig,innova,3,1,0,3,putter
72,polecat,innova,1,3,0,0,putter
73,rhyno,innova,2,1,0,3,putter
74,roadrunner,innova,9,5,-4,1,distance
75,roc,innova,4,4,0,3,mid
76,roc3,innova,5,4,0,3,mid
77,shark,innova,4,4,0,2,mid
78,shryke,innova,13,6,-2,2,distance
79,sidewinder,innova,9,5,-3,1,distance
80,teebird,innova,7,5,0,2,fairway
81,teebird3,innova,8,4,0,2,fairway
82,tern,innova,12,6,-3,2,distance
83,thunderbird,innova,9,5,0,2,distance
84,tl,innova,7,5,-1,1,fairway
85,tl3,innova,8,4,-1,1,fairway
86,valkyrie,innova,9,4,-2,2,distance
87,wraith,innova,11,5,-1,3,distance
88,xcaliber,innova,12,5,0,4,distance
89,yeti aviar,innova,2,3,0,1,putter
90,berg,kastaplast,1,1,0,2,putter
91,gote,kastaplast,4,5,0,1,mid
92,grym,kastaplast,13,5,-1,2,distance
93,kaxe,kastaplast,6,4,0,3,fairway
94,rask,kastaplast,14,3,0,4,distance
95,reko,kastaplast,3,3,0,1,putter
96,svea,kastaplast,5,6,-1,0,mid
97,entropy,mvp,4,3,0,3,mid
98,ion,mvp,2.5,3,0,1.5,putter
99,nitro,mvp,13,4,-0.5,3,distance
100,nomad,mvp,2,4,0,1,putter
101,photon,mvp,11,5,-1.5,2.5,distance
102,reactor,mvp,5,5,-0.5,1.5,mid
103,signal,mvp,6,5,-3,1,fairway
104,volt,mvp,8,5,-0.5,2,fairway
105,wave,mvp,11,5,-2,2,distance
